url,file
http://www.aastocks.com/en/stocks/analysis/stock-aafn-con/1810/HK6/NOW.1457784/hk-stock-news,2025-08-05-024804_research-cmbi-expects-ai-glasses-boom-to-benefit-tech-suppl.md
https://news.futunn.com/en/post/58770431/xiaomi-s-stock-price-closed-lower-which-may-highlight-concerns,2025-08-05-024806_untitled.md
https://www.ainvest.com/news/jpmorgan-overseas-investors-extremely-bullish-chinese-stocks-internet-sector-serving-pillar-confidence-2503/,2025-08-05-024809_jpmorgan-overseas-investors-are-extremely-bullish-on-chines.md
https://news.futunn.com/en/post/58741274/xiaomi-s-stock-price-fell-nearly-5-during-the-session,2025-08-05-024810_untitled.md
https://carnewschina.com/2025/04/01/first-fatal-accident-involving-xiaomi-su7-claims-three-lives-on-chinese-highway/,2025-08-05-024813_first-fatal-accident-involving-xiaomi-su7-claims-three-lives.md
https://news.futunn.com/en/post/53695016/why-did-xiaomi-s-stock-price-fluctuate-drastically-after-reaching,2025-08-05-024814_untitled.md
http://www.aastocks.com/en/usq/quote/stock-news-content.aspx?symbol=LI&id=NOW.1450961&source=AAFN,2025-08-05-024816_research-haitong-int-l-xiaomi-auto-s-jun-sales-sink-mom-c.md
https://news.futunn.com/en/post/58887983/broker-focus-tianfeng-maintains-a-buy-rating-on-xiaomi-01810,2025-08-05-024818_untitled.md
https://news.futunn.com/en/post/53741199/weekend-reading-the-0-52-million-su7-ultra-has-once,2025-08-05-024819_untitled.md
https://news.futunn.com/en/post/51934898/in-the-market-review-the-hang-seng-index-experiences-a,2025-08-05-024821_untitled.md
http://www.aastocks.com/en/mobile/news.aspx?newsid=NOW.1456846&newssource=AAFN,2025-08-05-024822_hkd1-7b-southbound-trading-net-inflow-to-xiaomi-w.md
http://www.aastocks.com/en/stocks/news/aafn-con/NOW.1443561/latest-news/AAFN,2025-08-05-024825_research-g-sachs-short-term-profit-outlook-for-cn-e-commer.md
https://news.futunn.com/en/post/28792517/on-june-28-xiaomi-w-01810-spent-hkd-25-0057,2025-08-05-024826_untitled.md
https://news.futunn.com/en/post/57169918/a-preview-in-one-image-xiaomi-s-q1-performance-will,2025-08-05-024828_untitled.md
https://news.futunn.com/en/post/54459448/goldman-sachs-maintain-buy-rating-on-xiaomi-w-01810-and,2025-08-05-024829_untitled.md
https://www.stocksbnb.com/reports/xiaomi-01810-hk-core-business-reached-a-new-record-high/,2025-08-05-024833_xiaomi-01810-hk-core-business-reached-a-new-record-high.md
https://www.aastocks.com/en/stocks/analysis/stock-aafn-con/2050/HK6/NOW.1452073/hk-stock-news,2025-08-05-024836_430k-units-in-next-2-yrs-investor-concerns-over-tesla-suppl.md
https://news.futunn.com/en/post/53146734/ubs-group-has-provided-a-list-of-benchmark-companies-for,2025-08-05-024838_untitled.md
http://www.aastocks.com/en/stocks/analysis/stock-aafn-con/01810/AAFN/NOW.1457099/hk-stock-news,2025-08-05-024840_hsi-once-slips-440-pts-after-midday-on-settlement-date-as-l.md
https://www.tradingview.com/symbols/HKEX-1810/,2025-08-05-024843_1810-stock-price-and-chart-hkex-1810-tradingview.md
https://xiaomitime.com/hong-kong-stocks-of-xiaomi-rise-to-the-highest-record-20641/,2025-08-05-024845_hong-kong-stocks-of-xiaomi-rise-to-the-highest-record.md
